Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,4238,0,1700.0,1646.8872475468202,193.66480002645403,5165.2181999525055,829086.9636621048,7.083999962610202,0.0,1700,2000,2200,2300,2600,2900,3200,3400,3900,5200,5200
POST,/api/customer/owners,1022,0,320.0,416.9149402167453,4.228999954648316,2707.2363999905065,134.65655577299412,1.7083171217054334,0.0,320,530,680,790,1000,1200,1500,1800,2400,2700,2700
GET,/api/customer/owners/1,342,0,240.0,369.4315035051356,4.565299954265356,1981.121400021948,209.0,0.5716677647977085,0.0,250,470,620,690,940,1200,1500,1700,2000,2000,2000
GET,/api/customer/owners/10,337,0,330.0,438.23019376761096,4.347799927927554,3309.599999920465,293.0,0.563310048938093,0.0,330,600,710,810,1100,1300,1500,1800,3300,3300,3300
GET,/api/customer/owners/2,305,0,250.0,372.52381278820275,4.891899996437132,1761.550800059922,214.0,0.509820667436553,0.0,250,470,610,690,1000,1300,1500,1500,1800,1800,1800
GET,/api/customer/owners/3,304,0,220.0,376.14560098958657,4.457499948330224,1886.4416999276727,291.0,0.5081491242646299,0.0,240,520,650,730,1000,1300,1500,1600,1900,1900,1900
GET,/api/customer/owners/4,304,0,240.0,368.33852533240326,4.52630000654608,1968.574499944225,208.0,0.5081491242646299,0.0,250,510,650,720,940,1100,1400,1600,2000,2000,2000
GET,/api/customer/owners/5,301,0,260.0,430.4028558123244,4.455799935385585,2682.673299917951,211.0,0.5031344947488605,0.0,260,540,710,780,1100,1400,1700,2000,2700,2700,2700
GET,/api/customer/owners/6,289,0,330.0,410.12656954914706,4.494199994951487,2023.1198000255972,283.0,0.483075976685783,0.0,330,500,670,780,1000,1200,1600,1900,2000,2000,2000
GET,/api/customer/owners/7,298,0,230.0,393.92801073470446,4.770300001837313,2402.8510999633,202.0,0.4981198652330911,0.0,230,500,700,770,1000,1200,1700,2300,2400,2400,2400
GET,/api/customer/owners/8,286,0,240.0,403.0281674801502,4.38099994789809,2308.551499969326,209.0,0.47806134717001364,0.0,260,520,670,760,1100,1300,1600,1800,2300,2300,2300
GET,/api/customer/owners/9,346,0,260.0,413.0733182089877,4.555199993774295,2247.3100000061095,216.0,0.5783539374854011,0.0,270,570,710,790,1100,1300,1600,1700,2200,2200,2200
GET,/api/vet/vets,2096,0,9,10.495296565521214,4.852200043387711,58.366899960674345,653.0,3.503554488350869,0.0,9,9,10,11,14,23,36,41,52,58,58
,Aggregated,10468,0,520.0,827.7821228319444,4.228999954648316,5165.2181999525055,335871.6132976691,17.49771392369127,0.0,520,1100,1500,1700,2200,2500,2900,3100,3800,4200,5200
