Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,9709,9457,5,531.416705448573,2.0888999570161104,10100.895300041884,36931.652796374496,32.50984382004241,31.666041096522925,5,6,7,7,10,5800,10000,10000,10000,10000,10000
POST,/api/customer/owners,2473,2398,52,565.4318334006211,3.4063999773934484,10065.524499979801,56.47472705216337,8.280651330411462,8.029519567459234,52,54,56,58,63,5600,10000,10000,10000,10000,10000
GET,/api/customer/owners/1,725,699,5,318.75400703336146,2.4905999889597297,10093.494600034319,151.15172413793104,2.4276070418715365,2.340548030714764,5,6,7,7,9,14,9600,10000,10000,10000,10000
GET,/api/customer/owners/10,720,702,5,605.2549131927663,2.2095999447628856,10053.840999957174,153.575,2.410864924341388,2.3505933012328533,5,6,7,8,10,8800,10000,10000,10000,10000,10000
GET,/api/customer/owners/2,688,678,5,344.5854343023479,2.2437000880017877,10075.590100022964,149.94476744186048,2.3037153721484374,2.2702311370881403,5,6,7,7,9,21,10000,10000,10000,10000,10000
GET,/api/customer/owners/3,777,757,5,536.5683404118076,2.187600010074675,10050.340099958703,152.65508365508364,2.6017250641850813,2.534756594064487,5,6,7,8,9,6300,10000,10000,10000,10000,10000
GET,/api/customer/owners/4,720,705,5,409.8454609736412,2.189100021496415,10068.544399924576,150.22916666666666,2.410864924341388,2.3606385717509424,5,6,7,7,9,19,10000,10000,10000,10000,10000
GET,/api/customer/owners/5,761,739,5,567.9018241783198,2.3262999020516872,10044.696299941279,150.79237844940866,2.548150288088606,2.4744849709559524,5,6,7,7,10,7500,10000,10000,10000,10000,10000
GET,/api/customer/owners/6,676,655,5,476.25721405369103,2.293199999257922,10049.894899944775,153.16272189349112,2.263534290076081,2.193217396449457,5,6,7,7,10,3500,10000,10000,10000,10000,10000
GET,/api/customer/owners/7,734,707,5,578.3922546305275,2.267700037918985,10058.140199980699,150.94959128065395,2.457742853425804,2.367335418763002,5,6,7,7,10,9100,10000,10000,10000,10000,10000
GET,/api/customer/owners/8,721,711,5,329.9346312066093,2.3713000118732452,10063.698600046337,149.83217753120667,2.4142133478474177,2.3807291127871206,5,6,7,7,9,12,10000,10000,10000,10000,10000
GET,/api/customer/owners/9,692,675,5,448.13737139136754,2.451599924825132,10043.173799989745,150.64595375722544,2.317109066172556,2.260185866570051,5,6,7,7,9,2800,10000,10000,10000,10000,10000
GET,/api/vet/vets,4951,4597,5,6.3334355893616525,1.9880000036209822,116.03589996229857,176.6798626540093,16.57804477835307,15.392702857218557,5,6,7,7,8,10,14,40,100,120,120
,Aggregated,24347,23480,6,407.9274190045412,1.9880000036209822,10100.895300041884,14813.951780506839,81.52406710130525,78.62098392157749,6,7,8,9,51,67,10000,10000,10000,10000,10000
