Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761350676,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761350677,20,,Aggregated,0.000000,0.000000,49,49,49,49,49,49,49,49,49,49,49,5,0,49,48.58220003079623,47.83560009673238,49.40120002720505,653.0
1761350678,40,,Aggregated,0.000000,0.000000,49,51,53,53,54,54,54,54,54,54,54,8,0,49,50.02425002749078,47.83560009673238,53.831900004297495,653.0
1761350679,60,,Aggregated,5.000000,0.000000,53,54,150,150,160,160,160,160,160,160,160,12,0,51,82.81235001049936,47.83560009673238,161.60860005766153,653.0
1761350680,80,,Aggregated,4.000000,0.000000,57,60,65,130,160,160,160,160,160,160,160,20,0,54,70.7954149984289,7.952800020575523,161.60860005766153,653.0
1761350681,100,,Aggregated,3.333333,0.000000,54,60,65,66,150,160,160,160,160,160,160,28,0,53,64.5472821446934,7.952800020575523,161.60860005766153,653.0
1761350682,120,,Aggregated,4.750000,0.000000,54,61,65,69,160,5500,5600,5600,5600,5600,5600,38,0,53,492.22687631845474,6.843800074420869,5610.228499979712,618.1315789473684
1761350683,160,,Aggregated,5.400000,0.000000,57,63,84,150,5900,6300,6300,6400,6400,6400,6400,56,0,54,1013.9266071408721,6.048999959602952,6417.852999991737,582.0357142857143
1761350684,180,,Aggregated,5.333333,0.000000,57,65,120,160,6300,6300,7700,7800,7800,7800,7800,63,0,57,1151.5370126968871,6.048999959602952,7789.195999968797,44566.68253968254
1761350685,200,,Aggregated,6.571429,0.000000,57,69,160,5600,7600,8400,8600,8700,8700,8700,8700,78,0,57,1669.5483717977856,6.048999959602952,8670.820700004697,124917.42307692308
1761350686,200,,Aggregated,7.500000,0.000000,60,82,5500,6300,8400,8600,9200,10000,10000,10000,10000,98,1,59,2052.52801938985,6.048999959602952,10026.506400085054,170226.16326530612
1761350687,200,,Aggregated,7.555556,0.000000,62,160,7600,8400,9000,10000,10000,10000,10000,10000,10000,112,6,61,2817.9890473236032,6.048999959602952,10055.16740004532,186104.60714285713
1761350688,200,,Aggregated,8.500000,0.000000,63,5600,8100,8500,9300,10000,10000,10000,10000,10000,10000,122,7,62,3059.2762754102177,6.048999959602952,10055.16740004532,170880.05737704918
1761350689,200,,Aggregated,9.300000,0.100000,82,8400,9300,10000,10000,10000,10000,10000,10000,10000,10000,149,28,82,4060.09486241613,6.048999959602952,10149.96109995991,139954.57046979867
1761350690,200,,Aggregated,10.500000,0.600000,160,9000,10000,10000,10000,10000,10000,10000,10000,10000,10000,167,44,160.0,4584.327976647374,6.048999959602952,10149.96109995991,124889.38922155689
1761350691,200,,Aggregated,12.100000,1.500000,6300,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,191,62,6300.0,4954.852144502674,6.048999959602952,10149.96109995991,109229.96335078534
1761350692,200,,Aggregated,13.100000,2.900000,6300,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,230,101,6300.0,5031.526742172528,4.549000062979758,10149.96109995991,90731.33913043479
1761350693,200,,Aggregated,14.200000,4.400000,5600,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,275,146,5600.0,4865.823231270875,4.1250999784097075,10149.96109995991,75907.16
1761350694,200,,Aggregated,16.100000,6.400000,160,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,334,205,160.0,4788.831554786135,4.097099998034537,10149.96109995991,62522.94011976048
1761350695,200,,Aggregated,18.400000,10.100000,66,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,405,276,66,4495.451957774981,3.8810999831184745,10149.96109995991,51585.34074074074
1761350696,200,,Aggregated,22.000000,15.100000,54,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,465,336,54,4131.537426449108,3.5291999811306596,10149.96109995991,44947.062365591395
1761350697,200,,Aggregated,26.800000,20.700000,45,8600,10000,10000,10000,10000,10000,10000,10000,10000,10000,543,414,45,3686.8316060749808,3.5291999811306596,10149.96109995991,38510.08839779005
1761350699,200,,Aggregated,37.000000,33.800000,8,5900,10000,10000,10000,10000,10000,10000,10000,10000,10000,637,508,8,3363.8236748803556,3.222400089725852,10149.96109995991,32847.25274725275
1761350700,200,,Aggregated,43.000000,40.800000,8,65,10000,10000,10000,10000,10000,10000,10000,10000,10000,719,590,8,3106.9274751025205,3.222400089725852,10149.96109995991,29115.912378303197
1761350701,200,,Aggregated,50.500000,49.200000,7,55,9800,10000,10000,10000,10000,10000,10000,10000,10000,828,699,7,2855.9917060374046,3.222400089725852,10149.96109995991,25301.771739130436
1761350702,200,,Aggregated,56.800000,56.000000,7,52,8700,10000,10000,10000,10000,10000,10000,10000,10000,930,801,7,2704.8660092468886,3.222400089725852,10149.96109995991,22541.921505376344
1761350703,200,,Aggregated,65.400000,65.000000,6,47,5600,10000,10000,10000,10000,10000,10000,10000,10000,1019,890,6,2469.386940921627,3.182700020261109,10149.96109995991,20585.225711481846
1761350704,200,,Aggregated,73.600000,73.600000,6,11,60,9800,10000,10000,10000,10000,10000,10000,10000,1119,990,6,2249.569410186675,3.182700020261109,10149.96109995991,18757.940125111705
1761350705,200,,Aggregated,78.600000,78.600000,6,10,55,8200,10000,10000,10000,10000,10000,10000,10000,1214,1085,6,2074.5171299826584,3.182700020261109,10149.96109995991,17300.682866556836
1761350706,200,,Aggregated,83.700000,83.700000,6,9,52,91,10000,10000,10000,10000,10000,10000,10000,1316,1187,6,1914.49973404209,3.182700020261109,10149.96109995991,15970.519756838905
1761350707,200,,Aggregated,87.700000,87.700000,6,8,50,60,10000,10000,10000,10000,10000,10000,10000,1413,1284,6,1783.8037319888208,3.182700020261109,10149.96109995991,14883.571832979476
1761350708,200,,Aggregated,90.300000,90.300000,6,8,49,56,10000,10000,10000,10000,10000,10000,10000,1513,1384,6,1666.689813350957,3.182700020261109,10149.96109995991,13908.67415730337
