Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,5628,0,260.0,308.41445437038925,100.57509993202984,1965.8308000070974,496246.42555081734,9.406311591606325,0.0,260,300,330,360,490,720,950,1100,1800,2000,2000
POST,/api/customer/owners,1390,0,49,41.3145958250824,4.597999970428646,820.7111000083387,134.65179856115108,2.3231650874791745,0.0,49,52,54,56,61,66,83,250,810,820,820
GET,/api/customer/owners/1,418,0,6,10.16761004673005,4.071100032888353,319.73450002260506,209.0,0.6986208680333057,0.0,6,7,8,9,12,16,25,87,320,320,320
GET,/api/customer/owners/10,434,0,6,12.545359217130455,4.204099997878075,719.2387999966741,293.0,0.7253623366661595,0.0,6,7,8,9,14,24,46,140,720,720,720
GET,/api/customer/owners/2,396,0,6,12.921853283199134,3.862299956381321,617.6651000278071,214.0,0.6618513486631317,0.0,6,7,8,9,12,21,38,250,620,620,620
GET,/api/customer/owners/3,410,0,6,14.249676828579295,3.822599886916578,687.6458000624552,291.0,0.6852501337168788,0.0,6,7,8,9,12,21,69,250,690,690,690
GET,/api/customer/owners/4,417,0,6,9.191627818834242,3.8254999089986086,301.5346999745816,208.0,0.6969495262437523,0.0,6,7,7,9,12,18,35,40,300,300,300
GET,/api/customer/owners/5,433,0,6,12.0752930711615,4.165100050158799,629.5346999540925,211.0,0.7236909948766062,0.0,6,7,9,10,12,19,36,190,630,630,630
GET,/api/customer/owners/6,432,0,6,11.00736018674474,4.067400004714727,410.1417000638321,283.0,0.7220196530870527,0.0,6,7,8,9,12,17,29,93,410,410,410
GET,/api/customer/owners/7,443,0,6,10.567053502349868,4.029499948956072,400.0197999412194,202.0,0.7404044127721398,0.0,6,7,8,9,12,19,54,98,400,400,400
GET,/api/customer/owners/8,424,0,6,14.56508726701975,3.967899945564568,688.1856999825686,209.0,0.7086489187706259,0.0,6,7,8,9,12,19,69,270,690,690,690
GET,/api/customer/owners/9,414,0,6,10.337661111002994,4.192800028249621,474.1408000700176,216.0,0.6919355008750923,0.0,6,7,8,9,12,18,31,46,470,470,470
GET,/api/vet/vets,2665,0,7,8.588474446262877,4.227899946272373,74.56819992512465,653.0,4.454125869159712,0.0,7,8,9,10,12,16,23,28,46,75,75
,Aggregated,13904,0,15,134.18293827646656,3.822599886916578,1965.8308000070974,201078.01733314153,23.238336241949956,0.0,15,180,230,260,340,450,730,870,1600,2000,2000
