Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,5139,0,500.0,681.9463733995843,151.09429997392,2675.5814000498503,675375.3922942206,8.580158254899247,0.0,500,720,970,1100,1300,1600,1800,2000,2400,2700,2700
POST,/api/customer/owners,1239,0,50,84.36158684330758,4.802300012670457,1099.3218999356031,134.64326069410816,2.0686546172057145,0.0,50,56,59,65,250,410,650,730,1100,1100,1100
GET,/api/customer/owners/1,425,0,7,57.789900472716376,3.853500005789101,1183.25050000567,209.0,0.7095869348768594,0.0,7,9,12,17,190,420,610,670,1200,1200,1200
GET,/api/customer/owners/10,403,0,7,65.01673201241164,4.404700011946261,1138.2153999293223,293.0,0.6728553758949984,0.0,7,10,18,23,240,430,640,800,1100,1100,1100
GET,/api/customer/owners/2,379,0,7,56.053587861818635,4.143300000578165,1048.1183000374585,214.0,0.6327845842784228,0.0,7,9,12,20,200,390,630,720,1000,1000,1000
GET,/api/customer/owners/3,400,0,7,62.547349251108244,3.789299982599914,1037.0208999374881,291.0,0.6678465269429265,0.0,7,10,16,29,230,360,590,820,1000,1000,1000
GET,/api/customer/owners/4,435,0,7,58.086832874486674,4.279899992980063,1064.4626000430435,208.0,0.7262830980504326,0.0,7,9,15,19,190,440,570,710,1100,1100,1100
GET,/api/customer/owners/5,384,0,7,69.9373119835703,4.254900035448372,1313.6196000268683,211.0,0.6411326658652095,0.0,7,9,14,21,290,460,610,870,1300,1300,1300
GET,/api/customer/owners/6,351,0,7,54.19799686771714,4.469500039704144,993.3510000118986,283.0,0.5860353273924179,0.0,7,9,12,17,180,410,560,640,990,990,990
GET,/api/customer/owners/7,384,0,7,61.40955260464883,4.07310004811734,1256.9658000720665,202.0,0.6411326658652095,0.0,7,10,17,30,250,380,570,620,1300,1300,1300
GET,/api/customer/owners/8,336,0,7,46.18372142500621,4.310199990868568,709.994199918583,209.0,0.5609910826320582,0.0,7,9,12,17,140,340,520,600,710,710,710
GET,/api/customer/owners/9,401,0,7,55.17500024776618,3.88630002271384,708.6137000005692,216.0,0.6695161432602837,0.0,7,9,13,19,230,390,480,580,710,710,710
GET,/api/vet/vets,2568,0,8,9.943564680509771,4.472599946893752,77.36100000329316,653.0,4.287574702973588,0.0,8,9,10,11,14,21,31,38,64,77,77
,Aggregated,12844,0,49,300.8391905949745,3.789299982599914,2675.5814000498503,270438.1441139832,21.44455198013737,0.0,49,340,440,520,980,1300,1600,1800,2200,2600,2700
