Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,5387,3996,7,3349.6335945420556,2.0475999917834997,10116.30170000717,348993.3922405792,8.996912301671069,6.673781614530832,7,6700,8800,9400,10000,10000,10000,10000,10000,10000,10000
POST,/api/customer/owners,1326,854,55,2528.0547242828147,3.4279999090358615,10054.395999992266,82.8710407239819,2.214573178395366,1.4262786533556884,55,3100,6400,7000,8200,8700,9300,10000,10000,10000,10000
GET,/api/customer/owners/1,424,268,7,2604.620564860766,2.701899968087673,10007.113399915397,171.0754716981132,0.7081289801203886,0.4475909591326985,7,4200,6500,7200,8200,8700,9200,9900,10000,10000,10000
GET,/api/customer/owners/10,390,250,7,2518.6888289775175,2.6973000494763255,10006.02150009945,201.33333333333334,0.6513450524692254,0.417528879787965,7,4300,6200,7000,8100,8800,9400,10000,10000,10000,10000
GET,/api/customer/owners/2,426,271,7,2392.50673709094,2.22219992429018,10005.352799897082,172.65023474178403,0.7114692111586923,0.45260130569015405,7,3300,6100,6700,7600,8400,9200,9400,10000,10000,10000
GET,/api/customer/owners/3,405,265,7,2549.507483208759,2.6464000111445785,10011.584399966523,198.08641975308643,0.6763967852565033,0.4425806125752429,7,2700,6700,7300,8300,8900,10000,10000,10000,10000,10000
GET,/api/customer/owners/4,414,253,8,2635.96920965966,2.41800001822412,10065.416599973105,171.94444444444446,0.69142782492887,0.42253922634542057,8,5000,6400,7100,7900,8600,9200,9400,10000,10000,10000
GET,/api/customer/owners/5,417,264,7,2499.474542686711,2.664900035597384,10005.353100015782,171.74820143884892,0.6964381714863256,0.44091049705609103,7,4200,6400,7000,7800,8700,9300,9800,10000,10000,10000
GET,/api/customer/owners/6,411,257,7,2631.234303893184,2.365600084885955,10008.709899964742,199.20924574209246,0.6864174783714144,0.429219688422028,7,4700,6800,7300,8100,8600,9300,9800,10000,10000,10000
GET,/api/customer/owners/7,417,262,7,2511.400570983248,2.4374000495299697,10004.355899989605,168.70023980815347,0.6964381714863256,0.4375702660177873,7,2300,6300,7300,8100,8700,9200,9400,10000,10000,10000
GET,/api/customer/owners/8,403,250,7,2637.7422707204455,2.704499987885356,10009.385999990627,171.77915632754343,0.6730565542181995,0.417528879787965,7,5100,6600,7100,8000,8600,9100,10000,10000,10000,10000
GET,/api/customer/owners/9,441,290,7,2461.34341042964,2.3753000423312187,10006.880500004627,171.94104308390024,0.7365209439459702,0.4843335005540394,7,1900,6200,6900,8000,8800,10000,10000,10000,10000,10000
GET,/api/vet/vets,2734,1627,7,7.839484491098356,2.2635000059381127,205.39410004857928,347.71433796634966,4.566095829361185,2.717277949660076,7,8,8,9,10,12,23,42,200,210,210
,Aggregated,13595,9107,8,2351.3969919453866,2.0475999917834997,10116.30170000717,138420.9527031997,22.705220482869535,15.209742032915988,8,50,6000,7300,9100,10000,10000,10000,10000,10000,10000
