Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761351299,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761351300,20,,Aggregated,0.000000,0.000000,36,38,43,43,43,46,46,46,46,46,46,12,0,32,35.32405000684472,27.75500004645437,46.38259997591376,438.3333333333333
1761351301,60,,Aggregated,0.000000,0.000000,390,560,620,1500,1700,1900,2000,2000,2000,2000,2000,37,0,390.0,552.6003459518826,27.75500004645437,2013.5567999677733,310149.64864864864
1761351302,80,,Aggregated,0.000000,0.000000,43,530,620,700,1700,1800,2000,2000,2000,2000,2000,43,0,43,479.1564465132217,8.237999980337918,2013.5567999677733,266964.06976744183
1761351303,100,,Aggregated,15.500000,0.000000,510,1300,1600,1700,2000,2700,2900,3000,3000,3000,3000,62,0,450.0,805.540074194376,7.54150003194809,3031.1398999765515,323915.9032258064
1761351304,120,,Aggregated,15.500000,0.000000,510,1500,1700,1700,2300,2800,3000,3000,3000,3000,3000,81,0,510.0,890.3490604967868,7.076599984429777,3039.1896000364795,318808.037037037
1761351305,140,,Aggregated,14.333333,0.000000,440,1500,1700,1800,2500,2900,3500,3700,3700,3700,3700,91,0,440.0,902.0942428614944,7.076599984429777,3731.461799936369,315333.978021978
1761351306,160,,Aggregated,16.200000,0.000000,560,1700,2300,2900,3700,4200,4400,4400,4500,4500,4500,115,0,560.0,1283.5138573949023,7.076599984429777,4487.7368999877945,349323.98260869563
1761351307,180,,Aggregated,15.166667,0.000000,560,1700,2500,3000,3700,4400,4700,4800,4900,4900,4900,127,0,560.0,1350.528479529926,7.076599984429777,4906.6038999008015,327654.12598425196
1761351308,200,,Aggregated,16.285714,0.000000,700,2200,3400,3700,4700,5100,5800,6000,6000,6000,6000,154,0,620.0,1723.7044941587071,7.064100005663931,6014.906900003552,335447.9090909091
1761351309,200,,Aggregated,15.000000,0.000000,560,2200,3400,4200,5000,5200,6000,6100,6300,6300,6300,169,0,560.0,1741.9441568075551,7.064100005663931,6322.540200082585,322691.4201183432
1761351310,200,,Aggregated,16.555556,0.000000,620,2600,3700,4500,5200,6000,6300,7100,7400,7400,7400,179,0,620.0,1898.845930170143,7.064100005663931,7389.900400070474,328722.1787709497
1761351311,200,,Aggregated,16.555556,0.000000,1300,3200,4500,4800,6000,6800,7700,7700,7700,7700,7700,192,0,1300.0,2212.7685338570395,7.064100005663931,7738.508999929763,358798.0364583333
1761351312,200,,Aggregated,16.500000,0.000000,1600,3400,4700,5000,6300,7600,7700,8300,8400,8400,8400,199,0,1600.0,2372.025018595931,7.064100005663931,8350.609199958853,360611.89447236183
