Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,3008,161,8600.0,8353.991118382934,316.5433999383822,10075.308499974199,1119292.5518617022,5.024936393153153,0.2689543747665085,8600,8900,9200,9400,9800,10000,10000,10000,10000,10000,10000
POST,/api/customer/owners,777,2,6500.0,6349.154718917976,5.931699997745454,10061.7025999818,134.47104247104247,1.2979971999601063,0.003341048133745447,6500,6900,7200,7300,7700,8000,8400,8600,10000,10000,10000
GET,/api/customer/owners/1,207,2,6500.0,6271.333049761766,8.000300033017993,10006.481099990197,208.41062801932367,0.34579848184265377,0.003341048133745447,6500,6900,7200,7500,7900,8100,8300,9200,10000,10000,10000
GET,/api/customer/owners/10,206,0,6400.0,6213.53664611256,5.490100011229515,8388.989300001413,293.0,0.3441279577757811,0.0,6400,6900,7100,7300,7700,7900,8000,8200,8400,8400,8400
GET,/api/customer/owners/2,233,3,6600.0,6437.279507724664,16.56119991093874,10010.839299997315,213.15021459227466,0.38923210758134463,0.005011572200618171,6600,6900,7200,7400,7900,8100,8700,10000,10000,10000,10000
GET,/api/customer/owners/3,230,2,6600.0,6408.351034779891,5.160599946975708,10006.486699916422,289.75652173913045,0.3842205353807264,0.003341048133745447,6600,7000,7300,7500,7900,8200,8500,8700,10000,10000,10000
GET,/api/customer/owners/4,219,2,6600.0,6510.60104748972,5.6307000340893865,10006.985300104134,207.45205479452054,0.3658447706451265,0.003341048133745447,6600,7000,7200,7400,7900,8100,8300,8600,10000,10000,10000
GET,/api/customer/owners/5,231,0,6400.0,6237.364438527719,4.480800009332597,8831.85279997997,211.0,0.38589105944759916,0.0,6400,6800,7100,7300,7700,8000,8300,8400,8800,8800,8800
GET,/api/customer/owners/6,215,4,6600.0,6576.485900466633,24.543299921788275,10007.21930002328,280.48837209302326,0.3591626743776356,0.006682096267490894,6600,7100,7300,7500,8100,8300,8800,10000,10000,10000,10000
GET,/api/customer/owners/7,203,2,6500.0,6351.089585219795,5.607199971564114,10008.681099978276,201.4679802955665,0.3391163855751629,0.003341048133745447,6500,6900,7100,7300,7600,8000,8400,8400,10000,10000,10000
GET,/api/customer/owners/8,242,2,6500.0,6347.280179755569,4.411799949593842,10006.322300061584,208.49586776859505,0.40426682418319915,0.003341048133745447,6500,6900,7200,7400,7800,8000,8200,8400,10000,10000,10000
GET,/api/customer/owners/9,211,2,6400.0,6330.933863511176,18.713700002990663,10021.174900000915,215.35545023696682,0.3524805781101447,0.003341048133745447,6400,6800,7100,7200,7600,8000,8600,9300,10000,10000,10000
GET,/api/vet/vets,1481,0,9,11.088076773053066,5.73980004992336,102.12729999329895,653.0,2.4740461430385037,0.0,9,9,10,11,15,28,46,54,63,100,100
,Aggregated,7463,182,7000.0,5905.42926623301,4.411799949593842,10075.308499974199,451348.6067265175,12.467121111071137,0.3040353801708357,7000,7800,8300,8600,9200,9700,10000,10000,10000,10000,10000
