Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,3674,17,6400.0,6389.826746434584,403.9967000717297,10059.72819996532,958603.5242242787,6.137195207231893,0.028397473740593954,6400,6700,7000,7200,7600,8100,8800,9300,10000,10000,10000
POST,/api/customer/owners,929,5,4700.0,4748.547506352373,12.920200009830296,10014.894400024787,134.2508073196986,1.5518384179418696,0.008352198158998222,4700,5000,5300,5400,5900,6300,7200,7900,10000,10000,10000
GET,/api/customer/owners/1,245,2,4700.0,4767.994537548523,8.0186000559479,10018.841300043277,208.50204081632654,0.40925770979091286,0.003340879263599289,4700,5000,5200,5500,5900,6400,7200,7700,10000,10000,10000
GET,/api/customer/owners/10,302,1,4800.0,4695.822718871653,23.764100042171776,10006.234899978153,292.52317880794703,0.5044727688034926,0.0016704396317996444,4800,5100,5200,5400,5700,6400,7200,7200,10000,10000,10000
GET,/api/customer/owners/2,278,0,4800.0,4739.27743993063,7.725499919615686,8789.489699993283,214.0,0.46438221764030113,0.0,4800,5100,5400,5500,5900,6500,6900,7100,8800,8800,8800
GET,/api/customer/owners/3,296,0,4800.0,4810.145939189022,6.057100021280348,8153.141500079073,291.0,0.49445013101269475,0.0,4800,5100,5300,5500,5900,6700,7500,7700,8200,8200,8200
GET,/api/customer/owners/4,274,1,4700.0,4685.784986862117,6.277000065892935,10009.327700012363,207.7810218978102,0.45770045911310253,0.0016704396317996444,4700,5100,5300,5600,5800,6100,6700,8100,10000,10000,10000
GET,/api/customer/owners/5,263,2,4700.0,4717.818850568609,5.8726000133901834,10035.68470000755,210.52091254752852,0.4393256231633065,0.003340879263599289,4700,5000,5200,5400,5900,6200,7200,9000,10000,10000,10000
GET,/api/customer/owners/6,276,0,4800.0,4771.40422680616,14.949099975638092,8430.381499929354,283.0,0.46104133837670186,0.0,4800,5100,5300,5400,5800,6400,7100,7700,8400,8400,8400
GET,/api/customer/owners/7,305,0,4700.0,4646.528774427754,6.862099980935454,9724.219100084156,202.0,0.5094840876988915,0.0,4700,4900,5100,5400,5700,6300,6800,7200,9700,9700,9700
GET,/api/customer/owners/8,253,0,4800.0,4740.3023944640345,27.38300000783056,9897.508100024424,209.0,0.42262122684531,0.0,4800,5100,5400,5500,6000,6300,6900,7500,9900,9900,9900
GET,/api/customer/owners/9,267,0,4700.0,4614.802768162263,21.535799955017865,7473.347199964337,216.0,0.446007381690505,0.0,4700,5000,5200,5300,5700,6300,6800,7300,7500,7500,7500
GET,/api/vet/vets,1764,0,9,11.482011109800132,6.144799990579486,87.58179994765669,653.0,2.9466555104945726,0.0,9,10,11,11,16,29,43,47,82,88,88
,Aggregated,9126,28,5100.0,4484.520813970656,5.8726000133901834,10059.72819996532,386131.22704361164,15.244432079803554,0.04677230969039004,5100,5900,6200,6500,7100,7500,8200,8800,10000,10000,10000
