Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,5851,0,46,49.014770295015715,11.803700006566942,232.41789999883622,101484.96496325414,9.778983347621544,0.0,46,57,64,69,82,93,100,110,200,230,230
POST,/api/customer/owners,1493,0,53,46.63375572769916,4.6440999722108245,131.2299999408424,133.93971868720698,2.495303732353267,0.0,53,55,57,58,62,65,68,69,77,130,130
GET,/api/customer/owners/1,447,0,7,7.658016102250991,4.112199996598065,32.807699986733496,209.0,0.747086917857944,0.0,7,8,9,10,11,12,13,22,33,33,33
GET,/api/customer/owners/10,454,0,7,7.792088326983696,3.8219999987632036,42.84909996204078,293.0,0.7587862655648917,0.0,7,8,9,10,11,13,15,18,43,43,43
GET,/api/customer/owners/2,450,0,7,7.688482000182073,4.07429994083941,53.10200003441423,214.0,0.7521009240180644,0.0,7,8,9,10,11,12,14,21,53,53,53
GET,/api/customer/owners/3,426,0,6,7.824104223804802,3.994499915279448,71.76520000211895,291.0,0.711988874737101,0.0,7,8,9,10,11,13,19,23,72,72,72
GET,/api/customer/owners/4,428,0,7,8.046398594568561,4.033299977891147,22.725899936631322,208.0,0.7153315455105146,0.0,7,9,10,10,11,13,17,19,23,23,23
GET,/api/customer/owners/5,443,0,7,7.531445823466872,4.226299934089184,40.64809996634722,211.0,0.7404015763111168,0.0,7,8,9,9,11,12,16,23,41,41,41
GET,/api/customer/owners/6,415,0,7,7.518547229154642,3.870899905450642,31.966799986548722,283.0,0.693604185483326,0.0,7,8,9,10,11,12,14,17,32,32,32
GET,/api/customer/owners/7,417,0,7,7.738983212262213,4.226100048981607,70.76380006037652,202.0,0.6969468562567397,0.0,7,8,9,10,11,13,14,18,71,71,71
GET,/api/customer/owners/8,471,0,7,7.654641191138947,3.94399999640882,34.50189996510744,209.0,0.7871989671389075,0.0,7,8,9,10,11,12,13,16,35,35,35
GET,/api/customer/owners/9,445,0,7,7.3273085423985895,3.759699990041554,25.73580003809184,216.0,0.7437442470845304,0.0,7,8,8,9,11,12,14,16,26,26,26
GET,/api/vet/vets,2917,0,9,10.277832157537597,4.951799986883998,77.64799997676164,653.0,4.875285323023764,0.0,9,11,12,12,15,18,26,34,72,78,78
,Aggregated,14657,0,15,28.66461839387228,3.759699990041554,232.41789999883622,40725.84764958723,24.496762762961712,0.0,15,37,49,54,65,79,93,100,160,230,230
